"TOA5","CR3000","CR3000","1564","CR3000.Std.29","CPU:Summit3.CR3","18522","AllData"
"TIMESTAMP","RECORD","Batt_Volt_Avg","Pulse_Tot","Pulse_2_Tot","Pulse_3_Tot","CNR1_Avg(1)","CNR1_Avg(2)","CNR1_Avg(3)","CNR1_Avg(4)","CNR1_PRT_Avg","P_Avg","T_Avg(1)","T_Avg(2)","CellCo_15"
"TS","RN","Volts","Counts","Counts","Counts","mV","mV","mV","mV","mV","mV","mV","mV",""
"","","Avg","Tot","Tot","Tot","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Smp"
"""2026-06-18 02:38:44""",209281,12.604,8.25,5.5,0.0,3.222,-0.581,0.439,0.052,0.0,825.5,2690.5,217.75,-1.0
"""2026-06-18 02:44:14""",209293,12.499,6.583,6.75,0.0,3.91,-0.513,0.57,0.053,0.0,831.75,2678.167,203.75,-1.0
"""2026-06-18 02:49:42""",209300,12.393,7.571,7.429,0.0,4.597,-0.54,0.795,0.076,0.0,830.429,2689.429,208.857,-1.0
"""2026-06-18 02:54:45""",209307,12.681,7.286,5.714,0.0,2.672,-0.512,0.56,0.055,0.0,824.571,2680.571,186.429,-1.0
"""2026-06-18 03:05:35""",209310,12.39,9.667,11.667,0.0,1.73,-0.545,0.948,0.013,0.0,824.667,2688.0,183.333,-1.0
"""2026-06-18 03:11:12""",209318,12.686,7.0,10.125,0.0,3.401,-0.523,0.611,0.063,0.0,832.25,2690.5,203.625,-1.0
"""2026-06-18 03:16:20""",209323,12.466,9.8,4.8,0.0,4.339,-0.472,0.449,0.062,0.0,828.6,2679.0,219.6,-1.0
"""2026-06-18 03:21:41""",209334,12.418,7.636,7.727,0.0,2.337,-0.637,0.677,0.071,0.0,830.182,2677.636,211.364,-1.0
"""2026-06-18 03:26:42""",209341,12.341,6.857,6.714,0.0,3.724,-0.444,0.665,0.059,0.0,830.286,2688.429,204.571,-1.0
